57854342|466|464600
59895944|7602|904627,765779,878198,544847,263721,161509
201984090|2978|623930,130414,333293
71316678|3517|362448,305769,124600,912768,714399,745376,418199,591948,59174,887246
198408812|5686|216452,282383,843220,200303
201925005|1755|591918,195752,620292,266110
201993974|7420|507047,972439,148683,797565,202160,844347,467538,775164
81335865|3272|361777,71203,779051,152020,660512,683942,992827,13318,431032,836878
192779629|3685|380709,624341,150675
60592905|484|918991,124895,216055,572896,522822,677226,489273
201533346|5801|587811,860987,941850
201421780|1441|512232,956752,660707,728964,184844,316645,417618
56612886|3020|206923,633053,658021,248674,357932,848137,679221
78943512|7126|672526,518398,559599,282775,99887,889093,396208,245783,961314,270403
88532394|1007|21988,141638
59677340|1555|764419,424708
57808278|1565|310583,889814,159591,353674,357213,263678,852401
201244068|2487|207349,209934,538723
173534921|1922|103142,369802,717203,568879,77910,264055,526218,792147,755908,523656
75001327|130|782896,537275
53612810|5885|487617,879611
183358827|3292|97343
201798165|3569|537197,413053,989566,883103,815251,450484,924311,406782
66039009|3413|468831,182018,753768,256124,943811,119473
110708548|4410|105374
77275993|813|695362,458957
62881661|1973|279180,522198,335315,24758,743279,500487,476102
55034634|1297|335063,465299,314687,856804
44457416|559|231059,550638,187212,525464,317077,442677,425330
76797706|3082|870410
202008158|3683|443093,942782,50037,13493,799762,837199,613699
201890587|2037|988916,379520,891839
68665631|2682|524480,413301,689719
200774610|1826|41217,963684,98213,663427,285009,703256,763280
62090424|7313|850827,595072,569421
58031140|71|197784,641243,610432,961502,219886
201998223|5296|898412,870996,830347,467123,301283,46788,573616
201445932|2084|989888,230809
58111244|227|293104,496786,715341,780074,968443,274825,740388
82692728|1262|170524,227535,437226,733227,468342,388449,610931,247867
201770831|3026|437440,531819,880458
64853454|1036|757288,611030,141669,66018,116498
201647327|7366|200254,952042,672713
49076798|5193|536873,588569
201708770|1554|735806,323827,981186,398327
201696058|3728|223891
199235282|3240|260123,954278,388372,954078,789422,468978
80340631|4340|616734,23029,19236
80736947|3912|349097,257155,55203,988750,629155,286732,142414,999452
58022130|7130|578003
56835996|2496|885726,263395,842718,754890,313836,859216,57531,969598,688225,85749
58769198|1930|714184,57079
80842805|5175|139858,714287,924300,860845,850743,370375,780593,182712
59716128|2188|248039,983386,278394,279653
8672255|4064|906830,785507,936919,467072,46115,810290,165861,411377,220448,981512
63718961|1227|851380,927374,784872,417382,190714
201789326|6944|860180,728934,552835,277824
58006674|3123|743444,817781,94761,646228,764132,235887,127166,366314,823154,114066
60129332|2271|348717,970574,148861,334417
65850656|2426|324497
173826772|3199|455509,473390,905417,264329,443650,821713
57967825|3799|807686,719349
57764687|4638|473512,34189,174097,528391,683589,283879,277540
194829627|338|897318,944260,198691,101918,229927,693562
58907851|1133|905132
202002020|823|401391,494912,346336,292927
201652071|5132|184688,642331,885122,515987,375931,664686,68287,502649
201917401|2992|357128,957461,365894,347469,632957,168993
201653006|1231|676715,822954,761365,984816,37406,563232,674120,373221,671109
196542350|3911|989346,230754,524602,164903,833279,406143,552869
59488439|5648|597478,992704,245880,137441
63915096|5768|290810,145279,204316,824160,130103,970468,817404
57559237|4155|338773,79800,666024
201929982|1490|629887,795798,177592
201994091|1077|586182,168777,823813,122920,25905,319037,397142,556084,705679
81308989|4188|130757,383303,97481,143926,812731,358461,82291,671129,517728,237910
86970657|327|766872,922212,102507,88358,653006,637604
73805229|3113|610378,555515,609049,554610,920865,287846,863587
201897405|961|114362,191333,685611,779452
60399593|245|691256,361322,436733
196352547|734|922839,522990,607827,162291,465616,769999,568685,56774,330133
201950939|3227|809392,554995,490626
202020372|6398|916777,968686,187284,309904,706787,370130
71247926|5156|899746,561244,613869,621613,364553,154747,69924,229298,93962
201940372|2207|376097,973727,635790,313173,361030,559502
201450952|6480|885355,737618,803827,554582,419542,229533,179743,699483,514929
201514512|4168|196314,185349
201582810|2968|96857,348453,418509
201907906|3104|847702,799270,878779,285096,528128,855558,378733
62415087|2071|633516,982286,198797,365027,719622
59918089|5196|653824,766582,655514,294750,136306,131830,44748,665666
45558856|3082|817213,462079,575677,349871,698625,83507,406526,292411
201646433|3237|19273,320590,779059,289885,547640,316774
201919732|1438|549551,749457,196059,651515,811968,99972,300600
201750607|5440|892159,811055
200625841|2634|544144,202733,462557,54386
62397760|2260|594397,400611,652551,923522,659483
201786018|1118|50959,262660,937658,430988,276579,139689,598805,116263,906838,25583
196180569|5099|85921,564528,526399,228716,606269,768102,302700,496305,790608,122707
78134339|1167|52104,465396,313670,609001,182835
76949194|5818|704812,239106,563005,493804,478195,417706
79363704|501|642003,655694,16196,896839,743514
201148913|3275|234225,958797,135469,296017,559825,417799,435235,143759
201990845|1498|547316,518482,23273,419118,904571,859941,752361,895183,218608
57627078|7444|299708,562039,32705,936272,128199,424085,117186,586822,476222
58633467|4027|259315,812918,779676,336485,954811,21913,508056,771706
59193218|686|820456,533049,822289,82138,306136,818919,71138,649887
61183435|2569|551470,367272,703154,879438,862177,74787
60849405|4258|782638,49857,86995,31875,609725,41375,467122
75836817|1017|169886,401038,230208,982370,447513,952683
63088507|4367|973286
63240004|4686|639009,704667,832630,626462,170678,680513
58565041|690|913071,804586,871598,727450,638267,701787,895015,567949,264461
57711117|5933|639108
55569973|2722|461564,410644,675202,554622,124744,953625,469224
201864007|2853|755386,95906,137346,432901,609020,299320,497522,149273,999287
201933230|5767|945850
59056993|2758|257067,889976,476519,763018,203243,12473
152882874|293|331212,547337
137832824|1001|148632
200600946|4390|470927,865399,357749,520649,13264,675200,403407,276307,512535
201102344|5204|340093,154999,854056,361845,394711,396679,289096
69831393|5829|90662,157042,892268,18244,475033
200702976|3920|326400,578652
60483403|1765|235739,267456,623982,521343,590698
59769858|3808|496953,303229
201638881|2035|96299,554937,941175
62544655|5799|128083,244613,202620
57640155|5393|719431,320228,600633,810528,125813,310255,675671,130777,927261
50110561|4118|637427,562407,757312,846795,682364
56931863|3656|103680,524308,565113,685788,879708,634675
55861020|1688|235841,853559,796190,245751,153197,928460,407886,173250
56192269|4454|910889,959547,565366,286555,478589,601349,768835,141678
195871732|1654|790805,565075,274869,559536,617781,27898,470043
197928830|7165|928317,430005,690541
63107399|2787|279261,109202,994007,345203,322389,863897,46816,770859
59942519|4329|496304,294000,273199,368442,661678,135691
201694047|1958|42738,355409,884273,113577,318257,181724
201710777|1598|236271,605886,449281,702411,938027,877407,128395,478903,221827
201770216|2135|626047,745013,817982,629636
59507814|2948|813022,510255,416144,432111,855667,552088,527581,111841,558347
201641537|7357|781446,540705,788314,217924
201733112|1510|731109,161347,635131,43145
201463914|2935|93204,233773,529416,631596,566850,537032,60961,144994,86492
57504100|68|143107,635518,538743,906973,569301,64206,477125,933847,308624,219943
201450586|2410|97994,226453,980463,229712,414772,990979,80010,868204
201394321|5848|136672,788292,908664,887525
202002734|724|152493,472410,684519,501927,998490
61383912|534|105729,16554,101643,966785
49771606|2893|323857,637893,188449,812793,310300,942922,578864,984894,22030,552950
30360708|2990|277884,137168,616521
59630380|3404|574884,838593,249388,871780,331927,560619,931099,792317,760693,788232
60046675|3083|152708,172493,123774,67174,895855
201527927|5449|156373,702184,826878,116973,92452
201624808|5459|989049,989643,629072,268017,736247,727724,500605,595275,256957,424005
198652964|159|854689
46523843|369|264396
61611689|1333|665289,541717,497167,143587,209872,732385
201951299|1418|144529,849386,788789
64048770|7163|935271,819641
58713245|1871|768829,44805,299458,201218,397522
58365478|5046|109505,359344,19914,942750,14093,650634,827199,577926,417379,366638
62925183|4075|647188,986487,237797,976567,857464
201449703|2682|612894,622370,285880,492547,137834,69158,202583,226467,14607
60076665|4546|852164,73102,674107,104104,584447,644340
201988217|1287|260790
201781450|5431|333973,544266
201726378|6585|295080,383782,185950,367462
83059992|6579|530734
81314716|5993|785178,709541,799280,541285,313425,647167,532794,695482,241365
195953181|6174|169389,119303,414547,736239,579694,849703,672587
44457437|3472|174780,32807,568476,600629
201893536|6746|802645,479608,606033,514622,512017,278182,780565,71899,767000,396799
63596631|1522|466180,159561,75612,23994,683960,377549
56747981|2990|596460,536075,822927
201708771|2524|145082
64716565|4431|612519,274955,981090,759584,388454,648333,445337,420142
201989685|3639|763627,613757,476008
82152842|7161|949775,369438,964636,985595,205536
60483430|4451|294045,167077,169720
173534908|393|856068,473423
62881719|4615|80841,166912,937812,140793,103908,822396,671057
201627544|5796|256145,830599,696501,234784,448528,473256,70841
192212411|1761|475381
62025891|1857|725628,233210
60064493|884|996317,617816,852992,850019,725774,592015,28650,470165
59858707|7292|144740,161097,687859,487857,966356,927220,632026
66625913|2897|728430,473927,634514,464927,743259,791957,373284
197258149|2421|912141,543741,425125,179496,971928,857122,743375,943199,134130,454580
201726378|3789|110830
197631812|5326|752512
200706007|2089|380925,440895,794199,698367,900252
58481771|5163|697490,242005,688886,277311,158304,572623,583808,776599
68470506|7468|755758
60159315|4497|424465
200031301|7340|272032
60543889|3110|297189,392671,407139,602082,660755,582207
198008948|595|36897,36725,214909,129453
88532508|793|442907,731636,654616,182595,620983,213220
195681683|7087|645981,566383,302957,525695,731356,598987,45587,359491,325096
63421540|7151|64000,213937,382757,67809,325787,474846
58750263|1325|799769,158584,428258,386905
60438233|3987|293664,112245,571981
62991383|119|499776,147522,281248,281459
62288502|4354|296634,968416
202022063|936|185253,661369,637241,103514,815272,814808
201707128|1763|288197,898349,774283,86983,315552,798261
79755902|2069|932788,993833,676028,178948,194375,137632,702043,826819,16204
202012812|1975|939789,739546,87926
200096944|5907|495464,32621,137440,575119,906392,267975,587949
61643607|3308|559098,727475,413320,56458,808251,178125,658140,137420,212377
40318280|5071|429380,731893
67859975|1421|575144,795982,681721,394878,178749,535124
201774122|8930|673881,264196,107127,133235,789038,707270
82692284|5458|725492,340703,225982
62336956|397|296800,850649,409581,581709,194146,925462,808467
201737403|1323|28227,497338,470296,739297,843120,519130,49925,639576,432878,119862
198652980|4034|261831,933930
46173425|1817|91023,655532,382379,159601,344515,820159
60833463|4569|675889
201988276|2841|831048,700313,239380
202005882|7501|182014,169620
192211728|3073|654987,506512,914662,223087,462664,851924
201102373|7212|899190,385523,271014,725887,960039,778695,922468,139629,365828
201997189|1661|814092,340975,688661,109109,202977,980086,99560,220702
200729984|907|551684,243380,15207,26301
201749690|1953|988722
196163237|1239|266202,83650,416490,925228,105217,312666
201891288|5643|810510
199622636|3790|813435,816338,649208
201712223|3659|204829,844248,726180,768641,335207,506058,690942
201797431|3318|55168,498844,860812,863561,860522,367467,884741,968196,634466
66460751|6894|131513,893510,785591,980940,660988,299853,285343
201935487|1223|434406,142762
59667382|3347|205105,329473,653171
201931724|2019|83120,534640,314630,563960,677454,221122,897314,198622
199640770|6879|735999
154605519|3579|511341,234734,359224,183597
62858305|1046|91801,661810,787833,683578
60304113|5707|459998,430122,495663
54595268|2004|979952
60664418|5700|702482,140446,610981,129035,28924,875417,954741
60739288|3386|949592,394751,618099,547363,171544,93370,164949,960168,771169
197629382|7136|74186,921608,286767,742675,603374,684885,64174
201139129|3536|22559,544609,370816,554153,782283,492052,672714,749381,745918,716981
200109777|1544|908674,479463,504843,204386,194022,582373,876057,486740,480518,750981
191118789|5651|311269,486024
58768856|3548|222841,518394,115050,516109
62090496|172|565173,982844,331723
201997375|4166|76501,523286,680173,466652,988025,268726
58285748|276|65564,443292,603186
56645491|5837|718622,600224,244323,946924,337279,474663,485074,25993
59871641|6223|388788,112800,638818,765934
201503239|5915|580364,761287,907827,614966,669797,934375,238281,527017,116201
201771157|3896|611050,685443,462570,612915,933485,707487,310556,246375
76071193|3791|867375,494988,552116,591356
62665207|5140|554657,332902,288333,648050,604698,83248
201083982|3696|280818,76522,476777,429626,20953,111766
201771307|2974|147958,728316,585610,664082,374614,766032
201990541|2941|522505,116819,310879,175755,856036
200125846|7339|436320,646202
202019321|661|124752
200112352|1718|195504,609375,717173,328946,102546,782722,508557,597276,512807,235817
200144161|1722|653343,738992,297125,191134,976252,683645
200732628|1635|409726
201659764|4236|661871,212650,691230,213212,122501,167713,323350,167113,511094
46318349|2667|947703,48471,909473
58647447|638|728791,947180,274329
56439647|3492|825738,590459,83191,382406,75353,733180,363475,512864,177500
60308505|2313|19978,651164
201781365|8752|621901
201764358|1991|688958,584650,13005,528113,659668,772641,708587,929248
200265754|7520|352007,117346
194869449|4405|146650,450770,947971,560660,869712,372806,594578
192584296|5219|266234,674318,474829
43533741|82|330469,273629,536949,445747,513117,41471,811535,862946,40023
84670076|7314|636309,480380,97730,792398,720621,542316,169170,466164,100835
201506550|1880|777775,579209,140637,675883,45639,896897,523228,616160,54548,840835
56532509|7552|694244,553475,525994,563697,368627,226689,57257,286315,988010
62547619|1049|654102,18562,692380,954995,831267
201953629|2290|20876,357096,608595,366048
60463473|4006|262259,311371,92309
201773284|476|327767,923764,230748,95236
201932119|2757|500145,713616,51595,304251,966074
63935831|3280|791735,632864,650045
201659750|2909|516837,416593,695921,39115,460889,521362,606931,967630
52972571|6169|227467,55614,702121,206848
201449491|1723|559701,251332
